OM,w,wa,Ode,Ok
0.3169310463171445,-0.9999720330432083,0.4168366168903786,0.6830689536828555,0.0
0.28439502499084734,-1.2557361534175637,0.9569124953307051,0.7156049750091527,0.0
0.3634968811526693,-0.6575216629698588,-0.7298891547533313,0.6365031188473307,0.0
0.3572370825660815,-0.7641075753030863,-0.3522082377179721,0.6427629174339184,0.0
0.2805996446667131,-1.1261864286789598,0.8089513231137648,0.7194003553332868,0.0
0.389467622193684,-0.3881314299121118,-1.7603641226139237,0.610532377806316,0.0
0.3169310463171445,-0.9999720330432083,0.4168366168903786,0.6830689536828555,0.0
0.2842830720339386,-1.2519148039051107,0.952548060327435,0.7157169279660613,0.0
0.3620015231488894,-0.6829832005725495,-0.6396676924567921,0.6379984768511107,0.0
0.35667027545854246,-0.7737586290611816,-0.31801029585189033,0.6433297245414575,0.0
0.28109082872271784,-1.1244800673507884,0.8036501103041118,0.7189091712772822,0.0
0.389467622193684,-0.3881314299121118,-1.7603641226139237,0.610532377806316,0.0
0.3169310463171445,-0.9999720330432083,0.4168366168903786,0.6830689536828555,0.0
0.28578892107706605,-1.3120284786450658,1.0227863892098636,0.7142110789229339,0.0
0.40982782666694806,-0.33287463366668624,-1.6194838463616354,0.5901721733330519,0.0
0.34986696771617665,-0.8053289299773745,-0.21704368052088374,0.6501330322838234,0.0
0.28109082872271784,-1.1244800673507884,0.8036501103041118,0.7189091712772822,0.0
0.389467622193684,-0.3881314299121118,-1.7603641226139237,0.610532377806316,0.0
0.3030245451015817,-1.0998354595300661,0.721670572285362,0.6969754548984183,0.0
0.3065150823452593,-1.148135583792098,0.6217610877502143,0.6934849176547406,0.0
0.37290292326346225,-0.5980345987369586,-0.8100808065470146,0.6270970767365378,0.0
0.34986696771617665,-0.8053289299773745,-0.21704368052088374,0.6501330322838234,0.0
0.28109082872271784,-1.1244800673507884,0.8036501103041118,0.7189091712772822,0.0
0.389467622193684,-0.3881314299121118,-1.7603641226139237,0.610532377806316,0.0
0.30108747311347195,-1.0730313284755502,0.777115293349452,0.698912526886528,0.0
0.306873478112545,-1.1530948662424545,0.6115027424384857,0.6931265218874549,0.0
0.3785617182699866,-0.5471126335466636,-0.9557606990329868,0.6214382817300135,0.0
0.37690497838830783,-0.5866237450103771,-0.7381050605778138,0.6230950216116922,0.0
0.28109082872271784,-1.1244800673507884,0.8036501103041118,0.7189091712772822,0.0
0.35032105150880105,-0.7506958170705843,-0.6361869194856812,0.6496789484911989,0.0
0.30108747311347195,-1.0730313284755502,0.777115293349452,0.698912526886528,0.0
0.32374930270462243,-0.9967957857872871,0.12687747492481083,0.6762506972953776,0.0
0.3790134232285896,-0.5438563530110944,-0.9608722306438279,0.6209865767714104,0.0
0.38348774943153313,-0.5459958539596947,-0.7633422571365296,0.6165122505684668,0.0
0.3150789543397112,-0.9229503607619839,0.1911989463949112,0.6849210456602888,0.0
0.35032105150880105,-0.7506958170705843,-0.6361869194856812,0.6496789484911989,0.0
0.3016859304171119,-1.0691131887158547,0.7599359401704039,0.6983140695828881,0.0
0.3034273975459694,-1.1633521718877409,0.5268683938670923,0.6965726024540306,0.0
0.3930412148426955,-0.46067975304389297,-1.2136469025380427,0.6069587851573045,0.0
0.38348774943153313,-0.5459958539596947,-0.7633422571365296,0.6165122505684668,0.0
0.3089682962947515,-0.974327669163873,0.4722013165915588,0.6910317037052485,0.0
0.35032105150880105,-0.7506958170705843,-0.6361869194856812,0.6496789484911989,0.0
0.3011492166028491,-1.0400690779931843,0.8317665074458152,0.6988507833971509,0.0
0.30346469899371065,-1.1653707287974415,0.52187619116941,0.6965353010062894,0.0
0.39598936446203353,-0.4343516490927922,-1.3526085684666689,0.6040106355379664,0.0
0.38348774943153313,-0.5459958539596947,-0.7633422571365296,0.6165122505684668,0.0
0.3089682962947515,-0.974327669163873,0.4722013165915588,0.6910317037052485,0.0
0.35032105150880105,-0.7506958170705843,-0.6361869194856812,0.6496789484911989,0.0
0.3011492166028491,-1.0400690779931843,0.8317665074458152,0.6988507833971509,0.0
0.304046154096309,-1.1968360012226067,0.4440577174224834,0.695953845903691,0.0
0.39598936446203353,-0.4343516490927922,-1.3526085684666689,0.6040106355379664,0.0
0.38348774943153313,-0.5459958539596947,-0.7633422571365296,0.6165122505684668,0.0
0.3089682962947515,-0.974327669163873,0.4722013165915588,0.6910317037052485,0.0
0.334288292452669,-0.8373994861085814,-0.20645687035850463,0.665711707547331,0.0
0.3011492166028491,-1.0400690779931843,0.8317665074458152,0.6988507833971509,0.0
0.304046154096309,-1.1968360012226067,0.4440577174224834,0.695953845903691,0.0
0.39145048172624874,-0.474885608328019,-1.1386673552113695,0.6085495182737513,0.0
0.38348774943153313,-0.5459958539596947,-0.7633422571365296,0.6165122505684668,0.0
0.3089682962947515,-0.974327669163873,0.4722013165915588,0.6910317037052485,0.0
0.3538618781404423,-0.7315473561403164,-0.7310925808904791,0.6461381218595577,0.0
0.28919274188892435,-1.1118140290755012,1.063394117927654,0.7108072581110756,0.0
0.2852817536689384,-1.352708245235899,0.8219556212224655,0.7147182463310616,0.0
0.3980261781276872,-0.4161621238507205,-1.4486142183525739,0.6019738218723127,0.0
0.37681077697533244,-0.5878147850248291,-0.7560739409442216,0.6231892230246676,0.0
0.3089682962947515,-0.974327669163873,0.4722013165915588,0.6910317037052485,0.0
0.3326188875851649,-0.8464274722846188,-0.16171139434816634,0.6673811124148351,0.0
0.3318270735563994,-0.859798811478544,0.20585139816610876,0.6681729264436006,0.0
0.30815963376164834,-1.1626661214749838,0.36121599013829186,0.6918403662383517,0.0
0.3980261781276872,-0.4161621238507205,-1.4486142183525739,0.6019738218723127,0.0
0.40524533166398935,-0.42581714532077275,-1.2708761656382586,0.5947546683360107,0.0
0.2949719821948761,-1.0444531114530915,0.635286029132742,0.7050280178051239,0.0
0.3455226970171418,-0.7716960769491635,-0.3587808092000858,0.6544773029828582,0.0
0.3318270735563994,-0.859798811478544,0.20585139816610876,0.6681729264436006,0.0
