# zl, zs1, zs2, rein1, rein2, beta, betaerr, SN1, SN2, mag1, mag2, sigma_v_km_s
# Warning: oversampling is by a factor of 1
3.699999999999999956e-01 1.298000000000000043e+00 2.286000000000000032e+00 1.502000000000000002e+00 1.749000000000000110e+00 8.588999999999999968e-01 1.140000000000000041e-02 5.195700000000000074e+01 3.290899999999999892e+01 7.079099999999999682e+01 8.204000000000000625e+00 2.866283030772435154e+02
3.950000000000000178e-01 7.990000000000000435e-01 8.870000000000000107e-01 8.539999999999999813e-01 9.360000000000000542e-01 9.122999999999999998e-01 1.710000000000000062e-02 2.415299999999999869e+01 7.052500000000000568e+01 7.009999999999999787e+00 1.487199999999999989e+01 2.571696150012753037e+02
2.179999999999999993e-01 8.549999999999999822e-01 1.786000000000000032e+00 5.679999999999999494e-01 6.660000000000000364e-01 8.538000000000000034e-01 2.149999999999999828e-02 2.189600000000000080e+01 2.573600000000000065e+01 5.349999999999999645e+00 6.294999999999999929e+00 1.681122975789552072e+02
4.390000000000000013e-01 8.629999999999999893e-01 1.346999999999999975e+00 8.429999999999999716e-01 1.147999999999999909e+00 7.338000000000000078e-01 1.310000000000000053e-02 9.372199999999999420e+01 2.076399999999999935e+01 3.412999999999999812e+00 1.078100000000000058e+01 2.611546756024811771e+02
4.319999999999999951e-01 1.225999999999999979e+00 2.819999999999999840e+00 1.249000000000000110e+00 1.616999999999999993e+00 7.727000000000000535e-01 1.099999999999999936e-02 4.184599999999999653e+01 2.427100000000000080e+01 3.439999999999999947e+00 4.613000000000000433e+00 2.773046758673251588e+02
9.060000000000000275e-01 2.007000000000000117e+00 3.938000000000000167e+00 8.810000000000000053e-01 1.227000000000000091e+00 7.176000000000000156e-01 1.230000000000000017e-02 1.524679999999999893e+02 2.400499999999999901e+01 3.351999999999999869e+00 2.513299999999999912e+01 2.740638421962210600e+02
2.230000000000000038e-01 7.009999999999999565e-01 2.395999999999999908e+00 1.558999999999999941e+00 2.052000000000000046e+00 7.596000000000000529e-01 9.799999999999999684e-03 2.332400000000000162e+01 2.422100000000000009e+01 1.083600000000000030e+01 5.076999999999999957e+00 2.911062559339610516e+02
6.969999999999999529e-01 1.114000000000000101e+00 1.332000000000000073e+00 5.590000000000000524e-01 7.089999999999999636e-01 7.879000000000000448e-01 1.959999999999999937e-02 2.564000000000000057e+01 2.168299999999999983e+01 3.128000000000000114e+00 7.426000000000000156e+00 2.543519173857446845e+02
1.060000000000000053e+00 1.627999999999999892e+00 2.130999999999999783e+00 6.780000000000000471e-01 9.719999999999999751e-01 6.976999999999999869e-01 1.439999999999999961e-02 2.042500000000000071e+01 2.097700000000000031e+01 5.152000000000000135e+00 5.362000000000000099e+00 3.079141142541262752e+02
3.910000000000000142e-01 9.050000000000000266e-01 1.377999999999999892e+00 5.160000000000000142e-01 6.470000000000000195e-01 7.974999999999999867e-01 2.129999999999999949e-02 7.130500000000000682e+01 2.126500000000000057e+01 5.540000000000000036e+00 3.334999999999999964e+00 1.886605719888929116e+02
