,zl,z_host,tmax
24259,0.1789580204802283,1.0312964,5.452703851873795
9913,0.220345030711331,0.4984997,15.738755304508487
2729,0.3884561199458032,0.8316371,30.435231822750627
9007,0.2358247185396497,0.637286,40.31095713816121
23757,0.1433751637195398,1.0701201,18.35798681261545
10132,0.2579675849938461,1.0741813,7.948977430191326
9234,0.281911543909225,0.9781575,37.55192993475144
2790,0.2121022199359619,1.1565255,20.25201171596115
7340,0.4367480153066154,1.0149801,70.82422722838342
24869,0.2411188444588705,0.5277342,98.3090883800977
10651,0.1182651444669557,0.4505496,25.19145035168467
24754,0.168880155822291,0.7997531,34.683494548866385
31884,0.2930523664566349,0.71224993,52.42951090398388
1749,0.4308996535151831,0.9258527,32.65890752773349
28420,0.1584671331331492,1.0550797,12.369350839453734
11141,0.2089433998668969,0.8628309,33.74964434951686
855,0.7190064376576863,1.5183986,21.491457506307945
20000,0.4236666826248202,1.1299665,21.12386463514319
21423,0.3031181072066888,1.0959779,14.60538565172034
11480,0.1230442804234369,0.7741445,7.23027846501304
21446,0.100512364630918,0.46172023,15.639772562658727
29220,0.1803374585772392,0.9968778,23.65264668136228
27082,0.3623692444481537,0.6968408,120.22972606398804
11394,0.611999260724315,1.096032,27.0683394586716
22138,0.4231154220637765,0.8142763,49.75558199132504
29649,0.2806930717659643,0.91283804,24.403835783625976
10820,0.220345030711331,0.7375721,23.92094423345988
22945,0.1571352188179419,0.6733993,72.17412005185246
12806,0.1433047546772518,0.67549616,8.05620771950663
15723,0.2163742754294187,1.1797277,21.969857838495592
1982,0.7287536906793437,1.099314,50.6188698439729
15818,0.4861918141377638,1.3584174,9.547936203324356
32953,0.1712870254848906,0.86601764,21.431995567327576
6527,0.2517286147804279,1.484985,6.82818209624409
30699,0.1188505734540784,0.58964014,50.14666642093858
16466,0.5538697927663533,1.0886241,35.47470055315823
10782,0.3067468890823634,0.8984183,111.1035356641692
30482,0.387128782441307,1.1075131,23.47764037118558
14442,0.3901979082871375,0.97346514,29.956189829845435
18606,0.2452951373659993,0.8163672,36.3050431928992
13482,0.2114988780082108,0.6175298,62.49690555528799
7745,0.2969512824193582,1.1966287,11.424942497724278
30839,0.2708748780614337,0.7516952,31.49832284371697
32399,0.1399684649901399,0.3851479,45.9240229349924
7297,0.6428748864163114,1.2477237,55.25696864303074
13303,0.3029525398150258,0.6037625,23.720136181222216
29955,0.1776775145543335,0.62389755,53.27321839441385
13298,0.157946121904966,0.6037625,22.90880251354577
31822,0.1399684649901399,0.33699408,42.090448881268486
15603,0.2667418291199684,0.5343332,104.73769315699424
8976,0.3032269080835146,0.66854703,16.445434713024234
13275,0.1954884409095056,0.91756046,121.73239753322908
31206,0.1712870254848906,0.67646205,12.589882864468866
15172,0.256209572981454,0.51919234,41.8125090256957
2023,0.0906715431035946,0.36741644,2.4127109953480925
9747,0.0850933272251552,0.64595103,8.062096139272578
20525,0.0464961899915507,0.2995878,12.513538685481292
13802,0.1339577131431458,0.3772627,35.334947230248765
20737,0.4782080986204187,1.0665665,25.999171011779048
32703,0.4455682379320611,0.70314085,56.95425738736838
25785,0.2682175016436496,1.0106819,103.11051748448052
4167,0.5288916637840952,1.4865544,5.327988129696375
7149,0.3771019658848018,0.5950811,53.05962211528448
23521,0.260041820652878,0.7078461,42.23432035889549
10334,0.3666747903885329,0.9380963,16.817168908446863
2021,0.2201151849694768,0.36741644,10.792610314493828
